Gene,Phecode,RareGPS,Indication,Max phase,Indicated mechanism,Indicated drugs,Druggable gene,DrugnomeAI,Predicted mechanism,Activators,Inhibitors,Other drugs
INS,GI_516.1 [Pyloric stenosis],0.068,0,0.0,,,1,0.192,,,,
GSK3B,MB_302.1 [Speech and language developmental delay],0.068,0,0.0,,,1,0.938,,,"azd-1080, elraglusib, lithium, lithium anhydrous, ly-2090314, tideglusib",
CD40LG,NS_324.2 [Degenerative diseases of the basal ganglia (excluding parkinsonism)],0.068,0,0.0,,,1,0.978,,,"dapirolizumab, dazodalibep, ravagalimab, ruplizumab, tegoprubart, toralizumab",
MYPN,CV_414.1 [Hypertrophic cardiomyopathy],0.068,0,0.0,,,0,0.001,Activation,,,
POLR2H,RE_484.1 [Spontaneous pneumothorax],0.068,0,0.0,,,0,0.014,,,,
NDUFA10,CM_763.31 [Ventricular septal defect],0.068,0,0.0,,,1,0.998,,,"me-344, metformin, nv-128",
EDNRB,GE_973.5 [Huntington's disease],0.068,0,0.0,,,1,0.999,,,"ambrisentan, aprocitentan, bosentan, darusentan, enrasentan, macitentan, sitaxentan, tezosentan",rg-7636
PSMC4,RE_488.8 [Obesity hypoventilation syndrome [OHS]],0.068,0,0.0,,,1,0.769,,,"bortezomib, bortezomib d-mannitol, carfilzomib, ixazomib, oprozomib",
GATA2,GE_973.5 [Huntington's disease],0.068,0,0.0,,,0,0.004,,,,
HTR2C,GE_973.5 [Huntington's disease],0.068,1,3.0,Inhibition,"olanzapine (III), risperidone (I)",1,0.996,,"dexfenfluramine, fenfluramine, lorcaserin, vabicaserin","agomelatine, amisulpride, carphenazine, chlorprothixene, clothiapine, cyclobenzaprine, esmirtazapine, loxapine, methixene, methysergide, minaprine, mirtazapine, nefazodone, olanzapine, quetiapine, risperidone, sertindole, tedatioxetine, thioridazine, trazodone, trifluoperazine, trimipramine, zimeldine, ziprasidone",
FNIP1,RE_484.1 [Spontaneous pneumothorax],0.068,0,0.0,,,0,0.0,,,,
CSNK2A1,NS_323.3 [Motor neuron disease],0.068,0,0.0,,,1,0.583,,,silmitasertib,
ETS1,GU_580.1 [Acute nephritic syndrome],0.068,0,0.0,,,0,0.017,,,,
TUBB2A,RE_484.1 [Spontaneous pneumothorax],0.068,0,0.0,,,1,0.975,,,"abt-751, ang1005, anvatabart opadotin, aprutumab ixadotin, asg-5me, azintuxizumab vedotin, belantamab mafodotin, bivatuzumab, brentuximab vedotin, cabazitaxel, cantuzumab, colchicine, crolibulin, docetaxel, docetaxel anhydrous, dolastatin-10, enapotamab vedotin, enfortumab vedotin, eribulin, fosbretabulin, glembatumumab vedotin, indibulin, indusatumab vedotin, ixabepilone, ladiratuzumab vedotin, lexibulin, lifastuzumab vedotin, lorvotuzumab, milataxel, mirvetuximab soravtansine, ombrabulin, paclitaxel, pf-06263507, pinatuzumab vedotin, plinabulin, plocabulin, polatuzumab vedotin, praluzatamab ravtansine, rg-7600, rg-7636, rg-7841, soblidotin, sofituzumab vedotin, telisotuzumab vedotin, tisotumab vedotin, trastuzumab emtansine, tusamitamab ravtansine, vandortuzumab vedotin, vinblastine, vincristine, vinflunine, vinorelbine","ags-16c3f, bms-275183, davunetide, epothilone d, fosbretabulin tromethamine, kos-1584, larotaxel, paclitaxel docosahexaenoic acid, paclitaxel poliglumex, patupilone, sagopilone, t-900607, verubulin"
DNMT3B,BI_179.1 [Hypogammaglobulinemia NOS],0.068,0,0.0,,,1,0.142,,,,
MDH2,CV_414.1 [Hypertrophic cardiomyopathy],0.068,0,0.0,,,0,0.008,,,,
SOD2,CV_414.1 [Hypertrophic cardiomyopathy],0.068,0,0.0,,,1,0.286,Activation,,,
OXT,MB_301.2 [Asperger's syndrome*],0.068,0,0.0,,,0,0.128,Activation,,,
GSK3A,NS_323.3 [Motor neuron disease],0.068,1,2.0,Inhibition,lithium (II),1,0.844,,,"azd-1080, lithium, lithium anhydrous, ly-2090314",
RPL23,BI_179.1 [Hypogammaglobulinemia NOS],0.068,0,0.0,,,1,0.002,,,"cycloheximide, dorlimomab aritox, mt-3724","ataluren, elx-02"
AVPR2,GU_580.1 [Acute nephritic syndrome],0.068,1,4.0,Conflicting,"desmopressin (IV), terlipressin (IV), tolvaptan (II)",1,0.914,,"argipressin tannate, desmopressin, lypressin, vasopressin, vasopressin tannate","conivaptan, lixivaptan, mozavaptan, pecavaptan, satavaptan, tolvaptan",terlipressin
NLRP3,NS_343.3 [Complex regional pain syndrome],0.068,0,0.0,,,1,0.558,,,dapansutrile,
IL7R,GI_542.8 [Biliary cirrhosis],0.068,0,0.0,,,1,0.151,Activation,,,
WDR26,CM_763.13 [Patent ductus arteriosus],0.068,0,0.0,,,0,0.0,,,,
UBE2L3,CM_750.16 [Arnold-Chiari syndrome*],0.068,0,0.0,,,0,0.002,,,,
PIK3R5,GE_961.1 [Phakomatoses],0.068,1,1.0,Inhibition,bgt-226 (I),1,0.989,,,"apitolisib, azd-6482, bgt-226, buparlisib, dactolisib, ds-7423, gedatolisib, gsk-1059615, izorlisib, omipalisib, panulisib, paxalisib, pf-04691502, pictilisib, pilaralisib, puquitinib, pwt-33587, recilisib, samotolisib, sf-1126, sonolisib, taselisib, voxtalisib, vs-5584, wx-037, zstk-474",
HIF1A,CM_770.5 [Congenital osteodystrophies],0.068,0,0.0,,,1,0.891,,,,
STH,GE_973.5 [Huntington's disease],0.068,0,0.0,,,0,0.001,,,,
TUBB2A,SO_369.62 [Keratoconus],0.068,0,0.0,,,1,0.975,,,"abt-751, ang1005, anvatabart opadotin, aprutumab ixadotin, asg-5me, azintuxizumab vedotin, belantamab mafodotin, bivatuzumab, brentuximab vedotin, cabazitaxel, cantuzumab, colchicine, crolibulin, docetaxel, docetaxel anhydrous, dolastatin-10, enapotamab vedotin, enfortumab vedotin, eribulin, fosbretabulin, glembatumumab vedotin, indibulin, indusatumab vedotin, ixabepilone, ladiratuzumab vedotin, lexibulin, lifastuzumab vedotin, lorvotuzumab, milataxel, mirvetuximab soravtansine, ombrabulin, paclitaxel, pf-06263507, pinatuzumab vedotin, plinabulin, plocabulin, polatuzumab vedotin, praluzatamab ravtansine, rg-7600, rg-7636, rg-7841, soblidotin, sofituzumab vedotin, telisotuzumab vedotin, tisotumab vedotin, trastuzumab emtansine, tusamitamab ravtansine, vandortuzumab vedotin, vinblastine, vincristine, vinflunine, vinorelbine","ags-16c3f, bms-275183, davunetide, epothilone d, fosbretabulin tromethamine, kos-1584, larotaxel, paclitaxel docosahexaenoic acid, paclitaxel poliglumex, patupilone, sagopilone, t-900607, verubulin"
SIAH1,EM_208.1 [Hypoparathyroidism],0.068,0,0.0,,,0,0.0,,,,
GAP43,GE_972.1 [Hereditary neuropathy],0.068,0,0.0,,,0,0.027,,,,
USH2A,GE_972.2 [Hereditary ataxia],0.068,0,0.0,,,1,0.0,,,,
HLA-DQA1,GI_542.8 [Biliary cirrhosis],0.068,0,0.0,,,1,0.012,,,,
STAT4,DE_669.2 [Behcet's syndrome],0.068,0,0.0,,,1,0.406,,,,
PDE6H,SO_386.5 [Color vision deficiencies],0.068,0,0.0,,,1,0.787,Activation,,"dipyridamole, pentoxifylline",
SCN4A,GE_972.1 [Hereditary neuropathy],0.068,1,4.0,Inhibition,"levobupivacaine (IV), mexiletine (IV), phenytoin (II)
 ropivacaine (IV)",1,0.998,Activation,,"articaine, benoxinate, bupivacaine, carbamazepine, cenobamate, chloroprocaine, cocaine, dichlorobenzyl, disopyramide, dronedarone, dyclonine, encainide, eslicarbazepine, ethotoin, etidocaine, evenamide, fosphenytoin, hexylcaine, indecainide, irampanel, lacosamide, lamotrigine, levobupivacaine, lidocaine, mephenytoin, mepivacaine, merethoxylline procaine, mexiletine, moricizine, nerispirdine, nktr-171, orphenadrine, oxcarbazepine, phenacemide, phenazopyridine, phenytoin, prilocaine, primidone, procainamide, procaine, propafenone, proparacaine, propoxycaine, quinidine, quinidine gluconate, quinidine polygalacturonate, ralfinamide, ranolazine, riluzole, ropivacaine, rufinamide, tetracaine, tocainide, topiramate, zonisamide",
FN1,CV_433.3 [Cerebrovascular insufficiency],0.068,0,0.0,,,1,0.925,,,,"as-1409, l19il2, l19sip 131i, l19tnfa, mu-bc-1, ocriplasmin, radretumab"
DCLK1,GE_961.1 [Phakomatoses],0.068,0,0.0,,,1,0.107,,,,
RPL32,SO_380.3 [Optic atrophy],0.068,0,0.0,,,1,0.002,,,"cycloheximide, dorlimomab aritox, mt-3724","ataluren, elx-02"
SOD1,GE_972.2 [Hereditary ataxia],0.068,0,0.0,,,1,0.784,Activation,,tofersen,
B4GAT1,GE_972.9 [Muscular dystrophy],0.068,0,0.0,,,0,0.004,Activation,,,
ISY1-RAB43,CM_770.5 [Congenital osteodystrophies],0.068,0,0.0,,,0,,,,,
MT-CO2,SO_380.3 [Optic atrophy],0.068,0,0.0,,,0,0.003,,,,
FURIN,EM_249.1 [Cerebral amyloid angiopathy*],0.068,0,0.0,,,1,0.831,,,,
TJP1,EM_249.1 [Cerebral amyloid angiopathy*],0.068,0,0.0,,,0,0.022,,,,
FN1,SO_369.62 [Keratoconus],0.068,0,0.0,,,1,0.925,,,,"as-1409, l19il2, l19sip 131i, l19tnfa, mu-bc-1, ocriplasmin, radretumab"
FAM111A,GE_978.3 [Osteochondrodysplasias],0.068,0,0.0,,,0,0.001,,,,
FLVCR1,GE_972.2 [Hereditary ataxia],0.068,0,0.0,,,0,0.001,Activation,,,
F2,GE_970.1 [Sickle-cell disorders],0.068,0,0.0,,,1,0.997,,,"antithrombin, argatroban, atecegatran metoxil, bivalirudin, dabigatran, dabigatran etexilate, desirudin, ichorcumab, lepirudin, ximelagatran",
RPS3A,CM_750.16 [Arnold-Chiari syndrome*],0.068,0,0.0,,,1,0.002,,,"cycloheximide, dorlimomab aritox, mt-3724","ataluren, elx-02"
ARFGEF2,BI_161.2 [Extrinsic (acquired) hemolytic anemias],0.068,0,0.0,,,0,0.0,,,,
ANGPT1,GU_580.1 [Acute nephritic syndrome],0.068,0,0.0,,,1,0.932,,,"amg-780, trebananib",
FGG,CV_433.3 [Cerebrovascular insufficiency],0.068,1,3.0,Other or unknown,"alfimeprase (II), fibrinolysin, (I), plasminogen (III)",1,0.667,,,"fibrinolysin,","alfimeprase, ancrod, fibrinogen,, plasminogen"
COL27A1,MB_305.1 [Tics and tic disorders],0.068,0,0.0,,,1,0.001,,,,"collagenase clostridium histolyticum, ocriplasmin"
GRIA1,GE_973.5 [Huntington's disease],0.068,0,0.0,,,1,0.999,,"cx1739, farampator, mibampator, mk-8777, osavampator, pesampator","becampanel, dasolampanel, irampanel, isoflurane, perampanel, selurampanel, talampanel, tezampanel, tezampanel anhydrous, topiramate, zonampanel",
GUCY2D,SO_386.6 [Night blindness],0.068,0,0.0,,,0,0.071,,,,
NUTF2,CM_763.31 [Ventricular septal defect],0.068,0,0.0,,,0,0.001,,,,
NAMPT,MS_704.9 [Allergic purpura [Henoch-Schoenlein purpura]],0.068,0,0.0,,,1,0.6,,,"daporinad, teglarinad",
SPIN1,RE_484.1 [Spontaneous pneumothorax],0.068,0,0.0,,,0,0.0,,,,
KCNH2,CV_416.8 [Pre-excitation syndrome [Anomalous atrioventricular excitation]],0.068,1,4.0,Conflicting,amiodarone (IV),1,0.999,Activation,,"amifampridine, amiodarone, azd1305, azd7009, dalfampridine, dofetilide, guanidine, ibutilide, nerispirdine, sotalol, tedisamil, vernakalant",
KPNB1,RE_484.1 [Spontaneous pneumothorax],0.068,0,0.0,,,1,0.014,,,,
FLT4,CV_441 [Arteriovenous malformation],0.068,0,0.0,,,1,0.999,,,"4sc-203, ag-13958, axitinib, bms-690514, brivanib, brivanib alaninate, catequentinib, cediranib, cep-11981, cep-5214, cep-7055, cp-459632, dovitinib, famitinib, foretinib, fruquintinib, glesatinib, ibcasertib, ilorasertib, imc-3c5, jnj-26483327, krn-633, l-21649, lenvatinib, linifanib, lucitanib, motesanib, nintedanib, nintedanib esylate, osi-930, pazopanib, regorafenib, rg-1530, semaxanib, sorafenib, su-014813, sunitinib, surufatinib, tak-593, telatinib, tivozanib, vandetanib, vatalanib, x-82, xl-820, xl-999",
PON2,NS_323.3 [Motor neuron disease],0.068,0,0.0,,,0,0.211,,,,
CCR5,GU_580.1 [Acute nephritic syndrome],0.068,1,1.0,Inhibition,azd5672 (I),1,0.995,,,"aplaviroc, azd5672, bms-813160, ccr5mab004, cenicriviroc, hgs-1025, incb-9471, leronlimab, maraviroc, pf-04634817, pf-232798, vicriviroc",
RPS12,NS_333.4 [Circadian rhythm sleep disorder],0.068,0,0.0,,,1,0.0,,,"cycloheximide, dorlimomab aritox, mt-3724","ataluren, elx-02"
FFAR4,GE_964.3 [Glycogen storage disease],0.068,0,0.0,,,1,0.908,Activation,,,
PDE6D,SO_369.62 [Keratoconus],0.068,0,0.0,,,1,0.819,,,"dipyridamole, pentoxifylline",
HMGA1,CM_751.213 [Congenital cataract],0.068,0,0.0,,,1,0.007,,,,
FANCA,CV_441 [Arteriovenous malformation],0.068,0,0.0,,,0,0.005,,,,
SNRPD2,CM_750.16 [Arnold-Chiari syndrome*],0.068,0,0.0,,,0,0.0,,,,
CFL1,EM_209.4 [Diabetes insipidus],0.068,0,0.0,,,0,0.006,,,,
ARPC4,CV_433.3 [Cerebrovascular insufficiency],0.068,0,0.0,,,0,0.002,,,,
PYGM,GE_972.9 [Muscular dystrophy],0.068,0,0.0,,,0,0.01,Activation,,,
AGTR1,EM_209.4 [Diabetes insipidus],0.068,0,0.0,,,1,0.996,,angiotensin ii,"azilsartan, azilsartan kamedoxomil, azilsartan medoxomil, candesartan, candesartan cilexetil, eprosartan, fimasartan, irbesartan, losartan, olmesartan, olmesartan medoxomil, pratosartan, saralasin, sparsentan, tasosartan, telmisartan, trv-120027, valsartan",
DOT1L,DE_663.1 [Pemphigus],0.068,0,0.0,,,1,0.428,,,,
PPARD,GE_972.9 [Muscular dystrophy],0.068,1,1.0,Other or unknown,unknown,1,0.998,,"ave0847, bezafibrate, cer-002, chiglitazar, db959, elafibranor, fonadelpar, gw501516, indeglitazar, kd3010, lanifibranor, seladelpar, sodelglitazar",icosapent,
CRYBB3,CM_751.213 [Congenital cataract],0.068,0,0.0,,,0,0.001,Activation,,,
SGMS1,CM_763.31 [Ventricular septal defect],0.068,0,0.0,,,1,0.049,,,,
NDUFS1,GE_963.1 [Lipid storage disorders],0.068,0,0.0,,,1,0.992,,,"me-344, metformin, nv-128",
LAMP1,NS_328.13 [Frontotemporal dementia [FTD]],0.068,0,0.0,,,1,0.016,,,,
SYVN1,GE_972.9 [Muscular dystrophy],0.068,0,0.0,,,1,0.002,,,,
ESR2,"EM_209.11 [Tall stature, acromegaly and gigantism]",0.068,0,0.0,,,1,0.999,Activation,"allylestrenol, aus-131, conjugated estrogens, b, cr 1447, diethylstilbestrol, erteberel, estetrol, estrogens, conjugated, estrogens, conjugated a, estrogens, esterified, mf101, mk-6913, prinaberel, quinestrol",fulvestrant,"acolbifene, afimoxifene, arzoxifene, bazedoxifene, chf4227, chlorotrianisene, cyclofenil, droloxifene, estramustine, estriol, fispemifene, idoxifene, lasofoxifene, ly2245461, ospemifene, raloxifene, toremifene"
USP24,NS_333.4 [Circadian rhythm sleep disorder],0.068,0,0.0,,,0,0.001,,,,
GNAS,CV_433.3 [Cerebrovascular insufficiency],0.068,0,0.0,,,0,0.386,,,,
KCNK9,CV_433.3 [Cerebrovascular insufficiency],0.068,0,0.0,,,1,1.0,,"desflurane, enflurane, halothane, isoflurane, sevoflurane",doxapram,
YPEL5,CM_763.13 [Patent ductus arteriosus],0.068,0,0.0,,,0,0.0,,,,
ZFR,GE_972.2 [Hereditary ataxia],0.068,0,0.0,,,0,0.002,,,,
HSPB1,GE_972.1 [Hereditary neuropathy],0.068,0,0.0,,,1,0.52,Activation,,apatorsen,
KAT5,GE_973.5 [Huntington's disease],0.068,0,0.0,,,1,0.336,,,,
SKP1,SO_369.62 [Keratoconus],0.068,0,0.0,,,0,0.007,,,,
FGFR2,GE_977.6 [Congenital cutaneous mastocytosis*],0.068,0,0.0,,,1,0.998,,"palifermin, trafermin","azd-4547, bemarituzumab, brivanib, brivanib alaninate, cp-459632, derazantinib, e-7090, enmd-981693, erdafitinib, fgfr inhibitor debio 1347, futibatinib, hmpl-453, infigratinib, lucitanib, ly-2874455, nintedanib, nintedanib esylate, orantinib, pemigatinib, regorafenib, rg-1530, rogaratinib, tg100-801, xl-999",aprutumab ixadotin
ZC3H13,GE_961.1 [Phakomatoses],0.068,0,0.0,,,0,0.0,,,,
S1PR1,GE_972.1 [Hereditary neuropathy],0.068,0,0.0,,,1,0.98,,"etrasimod, fingolimod, krp203, ponesimod, siponimod, siponimod fumaric acid",,"amiselimod, cenerimod, etrasimod arginine, fingolimod lauryl, ozanimod"
KRAS,CV_414.1 [Hypertrophic cardiomyopathy],0.068,0,0.0,,,1,0.988,Activation,,"adagrasib, salirasib, sotorasib",
HECTD1,CV_433.3 [Cerebrovascular insufficiency],0.068,0,0.0,,,0,0.002,,,,
DRD1,CV_433.3 [Cerebrovascular insufficiency],0.068,0,0.0,,,1,0.999,,"ergoloid, fenoldopam, mevidalen, minaprine, pergolide, tavapadon","amineptine, amoxapine, ecopipam, methylergometrine, methylergonovine, pimozide",
RREB1,GU_580.1 [Acute nephritic syndrome],0.068,0,0.0,,,0,0.007,,,,
IL22,BI_179.1 [Hypogammaglobulinemia NOS],0.068,0,0.0,,,1,0.806,,,fezakinumab,
ANKRD1,CV_414.1 [Hypertrophic cardiomyopathy],0.068,0,0.0,,,0,0.007,,,,
SPTBN2,NS_324.2 [Degenerative diseases of the basal ganglia (excluding parkinsonism)],0.068,0,0.0,,,0,0.007,Activation,,,
RASA1,GE_961.1 [Phakomatoses],0.068,0,0.0,,,0,0.05,Activation,,,
CCL5,NS_324.2 [Degenerative diseases of the basal ganglia (excluding parkinsonism)],0.068,0,0.0,,,1,0.199,,,,
UBE2L3,SO_365.3 [Exophthalmos [Proptosis]],0.067,0,0.0,,,0,0.002,,,,
IL12B,MS_705.2 [Juvenile rheumatoid arthritis [JRA/JIA]],0.067,1,3.0,Inhibition,"guselkumab (III), ustekinumab (III)",1,0.996,,,"brazikumab, briakinumab, ebdarokimab, guselkumab, mirikizumab, risankizumab, tildrakizumab, ustekinumab",
SNRPE,NS_324.2 [Degenerative diseases of the basal ganglia (excluding parkinsonism)],0.067,0,0.0,,,0,0.0,,,,
SH3TC2,GE_972.1 [Hereditary neuropathy],0.067,0,0.0,,,0,0.0,Activation,,,
CD226,GI_542.8 [Biliary cirrhosis],0.067,0,0.0,,,1,0.008,,,,
HLA-DRA,NS_328.13 [Frontotemporal dementia [FTD]],0.067,0,0.0,,,0,0.115,,,,
CFL1,GE_963.1 [Lipid storage disorders],0.067,0,0.0,,,0,0.006,,,,
GRID1,GE_972.2 [Hereditary ataxia],0.067,0,0.0,,,0,0.003,Activation,,,
DRD2,CV_433.3 [Cerebrovascular insufficiency],0.067,1,2.0,Inhibition,perphenazine (II),1,0.999,,"aplindore, apomorphine, aripiprazole, bifeprunox, brexpiprazole, bromocriptine, cabergoline, ergoloid, minaprine, onzigolide, pardoprunox, pergolide, pf-00217830, pramipexole, quinagolide, ropinirole, rotigotine, sarizotan, sumanirole","acetophenazine, adoprazine, alizapride, amineptine, amisulpride, amoxapine, asenapine, benperidol, blonanserin, bromopride, bromperidol, carphenazine, chlorpromazine, chlorprothixene, clebopride, clozapine, domperidone, droperidol, fluphenazine, fluphenazine enanthate, fluspirilene, haloperidol, iloperidone, itopride, jnj-37822681, levomepromazine, levosulpiride, loxapine, lumateperone, lurasidone, mesoridazine, metoclopramide, molindone, olanzapine, paliperidone, perphenazine, pimozide, prochlorperazine, prochlorperazine edisylate, promazine, quetiapine, remoxipride, risperidone, sb-773812, sertindole, sulpiride, thiethylperazine, thioridazine, thiothixene, tiapride, trazpiroben, trifluoperazine, triflupromazine, trimipramine, veralipride, ziprasidone","benzquinamide, cariprazine, ordopidine, pridopidine, seridopidine"
CCND1,CV_433.3 [Cerebrovascular insufficiency],0.067,0,0.0,,,1,0.933,,,"briciclib, palbociclib",
KMT2C,CV_414.1 [Hypertrophic cardiomyopathy],0.067,0,0.0,,,0,0.005,,,,
IDH2,CM_770.5 [Congenital osteodystrophies],0.067,0,0.0,,,1,0.991,Activation,,"enasidenib, vorasidenib",
AGFG1,CM_770.5 [Congenital osteodystrophies],0.067,0,0.0,,,0,0.001,,,,
RPS10-NUDT3,BI_179.1 [Hypogammaglobulinemia NOS],0.067,0,0.0,,,0,,,,,
EGFR,NS_333.4 [Circadian rhythm sleep disorder],0.067,0,0.0,,,1,0.998,,,"abivertinib, ac-480, aee-788, afatinib, allitinib, amivantamab, aumolertinib, azd-3759, azd-4769, bms-690514, brigatinib, canertinib, cep-32496, cetuximab, cln-081, cudc-101, dacomitinib, dacomitinib anhydrous, depatuxizumab, duligotuzumab, emb-01, epitinib, erlotinib, falnidamol, firmonertinib, futuximab, gc1118, gefitinib, icotinib, imgatuzumab, jnj-26483327, kbp5209, lapatinib, lazertinib, mab-425, matuzumab, mavelertinib, mobocertinib, modotuximab, mp-412, naquotinib, nazartinib, necitumumab, neratinib, nimotuzumab, olmutinib, osimertinib, panitumumab, pd-0166285, pelitinib, pf-06459988, pimurutamab, pki-166, poziotinib, puquitinib, pyrotinib, rg-7160, rociletinib, ruserontinib, s-222611, sapitinib, simotinib, tak-285, tarloxotinib, tesevatinib, theliatinib, tomuzotuximab, tuxobertinib, vandetanib, varlitinib, zalutumumab","cetuximab sarotalocan, depatuxizumab mafodotin, mdx-447, rindopepimut"
HEXB,GE_963.1 [Lipid storage disorders],0.067,1,2.0,Other or unknown,unknown,1,0.005,Activation,,,
PATL1,GI_540.11 [Autoimmune hepatitis],0.067,0,0.0,,,0,0.001,,,,
MFN2,GE_972.2 [Hereditary ataxia],0.067,0,0.0,,,1,0.007,,,,
OGA,GE_976.5 [Polycystic kidney disease],0.067,0,0.0,,,1,,,,,
XRCC5,CV_414.1 [Hypertrophic cardiomyopathy],0.067,0,0.0,,,0,0.047,,,,
CP,DE_663.2 [Pemphigoid],0.067,0,0.0,,,0,0.063,,,,
UBE2R2,CM_763.13 [Patent ductus arteriosus],0.067,0,0.0,,,0,0.0,,,,
JAZF1,MS_705.2 [Juvenile rheumatoid arthritis [JRA/JIA]],0.067,0,0.0,,,0,0.001,,,,
SLC1A2,"MB_280.4 [Sedative, hypnotic, or anxiolytic related disorders]",0.067,0,0.0,,,0,0.978,,,,
PAX8,GU_580.51 [Focal and segmental glomerular lesions*],0.067,0,0.0,,,0,0.011,,,,
ARID1B,GE_978.3 [Osteochondrodysplasias],0.067,0,0.0,,,1,0.002,,,,
EYS,SO_386.6 [Night blindness],0.067,0,0.0,,,0,0.001,,,,
FOXO1,GE_976.5 [Polycystic kidney disease],0.067,0,0.0,,,1,0.047,,,,
ADM,EM_211.1 [Adrenal hyperfunction],0.067,0,0.0,,,1,0.647,,,,enibarcimab
AR,"MB_280.4 [Sedative, hypnotic, or anxiolytic related disorders]",0.067,0,0.0,,,1,0.988,,"cr 1447, danazol, dromostanolone, ethylestrenol, fluoxymesterone, methandrostenolone, methyltestosterone, nandrolone, oxandrolone, oxymetholone, stanozolol, testosterone, testosterone cypionate, testosterone enanthate","abiraterone, apalutamide, apc-100, bicalutamide, clascoterone, cyproterone, darolutamide, dimethylcurcumin, enzalutamide, flutamide, galeterone, nilutamide, pruxelutamide, seviteronel, shr3680","azd3514, enobosarm, glpg0492, gsk2849466, gsk2881078, he3235, lgd-2941, ly2452473, mk-0773, vk5211"
TNF,GE_970.2 [Thalassemia],0.067,0,0.0,,,1,0.934,Activation,,"adalimumab, afelimomab, az9773, certolizumab, etanercept, golimumab, infliximab, lenercept, nerelimomab, onercept, ozoralizumab, pegsunercept, placulumab, remtolumab",abbv-3373
ISY1-RAB43,SO_369.62 [Keratoconus],0.067,0,0.0,,,0,,,,,
ADRB1,DE_663.2 [Pemphigoid],0.067,0,0.0,,,1,1.0,,"dipivefrin, dobutamine, dopamine, droxidopa, ephedrine, epinephrine, hydroxyamphetamine, isoproterenol, mephentermine, norepinephrine, pindolol, xamoterol","acebutolol, atenolol, betaxolol, bisoprolol, bucindolol, carteolol, carvedilol, celiprolol, dilevalol, esmolol, labetalol, landiolol, levobetaxolol, levobunolol, ly377604, metipranolol, metoprolol, nadolol, nebivolol, oxprenolol, penbutolol, practolol, pronetalol, propafenone, propranolol, sotalol, timolol",
HIF1A,NS_333.4 [Circadian rhythm sleep disorder],0.067,0,0.0,,,1,0.891,,,,
SEMA4D,GE_973.5 [Huntington's disease],0.067,1,2.0,Inhibition,pepinemab (II),1,0.043,,,pepinemab,
KDR,MS_705.2 [Juvenile rheumatoid arthritis [JRA/JIA]],0.067,0,0.0,,,1,0.999,,telbermin,"4sc-203, aee-788, ag-13958, alacizumab, altiratinib, axitinib, bfh-772, bms-690514, bms-794833, bms-817378, brivanib, brivanib alaninate, cabozantinib, catequentinib, cediranib, cep-11981, cep-5214, cep-7055, cm-082, cp-459632, cyc-116, dovitinib, enmd-2076, enmd-981693, famitinib, foretinib, fruquintinib, glesatinib, golvatinib, henatinib, ibcasertib, ilorasertib, imc-1c11, ji-101, krn-633, l-21649, lenvatinib, linifanib, lucitanib, midostaurin, motesanib, ningetinib, nintedanib, nintedanib esylate, olinvacimab, orantinib, osi-632, osi-930, pazopanib, pegdinetanib, pf-00337210, puquitinib, raf-265, ramucirumab, regorafenib, rg-1530, rivoceranib, semaxanib, sorafenib, su-014813, sunitinib, surufatinib, tak-593, tas-115, telatinib, tg100-801, tivozanib, vandetanib, vatalanib, x-82, xl-820, xl-999, zd-4190",
COL4A1,SO_380.3 [Optic atrophy],0.067,0,0.0,,,1,0.005,,,,"collagenase clostridium histolyticum, ocriplasmin"
TBX5,BI_162.1 [Constitutional (hereditary) aplastic anemia],0.067,0,0.0,,,0,0.02,Activation,,,
MTOR,GE_976.5 [Polycystic kidney disease],0.067,1,0.5,Other or unknown,unknown,1,0.937,,indoximod,"apitolisib, azd-8055, bgt-226, cc-115, dactolisib, ds-3078a, ds-7423, gedatolisib, omipalisib, onatasertib, osi-027, palomid-529, panulisib, perhexiline, pf-04691502, pki-179, pwt-33579, pwt-33587, rg-7603, ridaforolimus, samotolisib, sapanisertib, sf-1126, vistusertib, voxtalisib, vs-5584",pimecrolimus
VCAN,CM_770.5 [Congenital osteodystrophies],0.067,0,0.0,,,0,0.004,,,,
F9,GE_961.1 [Phakomatoses],0.067,0,0.0,,,1,0.986,,,pegnivacogin,"albutrepenonacog, coagulation factor ix, eftrenonacog, emicizumab, etranacogene dezaparvovec, fidanacogene elaparvovec, nonacog beta, trenonacog, valoctocogene roxaparvovec"
CD86,GI_542.8 [Biliary cirrhosis],0.067,1,4.0,Inhibition,abatacept (IV),1,0.989,,,"abatacept, belatacept",
GRN,MB_302.1 [Speech and language developmental delay],0.067,0,0.0,,,1,0.01,,,,
PITPNM3,CV_441 [Arteriovenous malformation],0.067,0,0.0,,,0,0.004,Activation,,,
IRF5,GI_542.8 [Biliary cirrhosis],0.067,0,0.0,,,0,0.019,Activation,,,
DSTYK,NS_323.3 [Motor neuron disease],0.067,0,0.0,,,0,0.004,,,,
PRDM1,GE_972.1 [Hereditary neuropathy],0.067,0,0.0,,,1,0.035,,,,
PRKCE,GE_972.2 [Hereditary ataxia],0.067,0,0.0,,,1,0.753,,,"cep-2563, gsk-690693, kai-1678, midostaurin, sotrastaurin, tamoxifen, ucn-01",
