Gene,Phecode,RareGPS,Indication,Max phase,Gene expression,HGMD,Locus2gene,Mouse models,OTP clinical genetics,Text mining,Common variants,Rare variants,Rare variants (gene-level),Ultrarare variants (gene-level),Mantis-ML,Sources
MTA2,SO_386.5 [Color vision deficiencies],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.317,,1.107,0.082,0.12,0.256,2
ADAMTS13,MS_704.2 [Wegener's granulomatosis],0.067,0,0.0,0.0,0.0,0.0,0.0,0.925,0.153,,3.509,0.107,0.127,,3
ATF7IP,GE_973.5 [Huntington's disease],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,2.488,1.613,0.096,0.088,,2
PTPRC,GE_978.3 [Osteochondrodysplasias],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.116,2.243,2.963,0.082,0.068,,2
SHANK3,SO_386.5 [Color vision deficiencies],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.043,,0.015,0.238,2
GLUL,GE_972.2 [Hereditary ataxia],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,3.794,0.125,0.04,0.089,0.89,3
EZH2,CM_750.16 [Arnold-Chiari syndrome*],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.042,3.172,0.048,2.442,0.991,2
COL8A2,SO_369.62 [Keratoconus],0.067,0,0.0,0.0,0.0,0.0,0.553,0.0,0.103,1.432,3.597,0.333,0.196,0.415,4
DNMT3B,GE_972.9 [Muscular dystrophy],0.067,0,0.0,0.0,0.684,0.0,0.0,0.402,0.121,,2.4,0.12,0.14,0.662,4
PPME1,RE_484.1 [Spontaneous pneumothorax],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.153,0.106,,0.121,0.11,2
MARK2,DE_663.2 [Pemphigoid],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,1.986,0.44,0.106,0.139,,2
ANLN,GU_580.52 [Diffuse membranous glomerulonephritis],0.067,0,0.0,0.0,0.0,0.0,0.0,0.655,0.17,2.546,2.949,0.389,0.161,,3
NOVA1,GE_963.1 [Lipid storage disorders],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.152,2.871,0.138,0.038,0.058,0.081,3
FGFR1,DE_663.1 [Pemphigus],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,2.576,0.134,0.155,0.1,,2
EZH2,GE_972.9 [Muscular dystrophy],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.113,2.288,1.758,0.045,0.066,0.762,3
TLR8,SO_380.3 [Optic atrophy],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.918,,0.088,0.09,2
APC,GE_961.1 [Phakomatoses],0.067,0,0.0,0.0,0.0,0.0,0.444,0.0,0.027,,2.4,0.63,0.431,0.598,4
SLC1A2,NS_341.1 [Cerebral palsy],0.067,0,0.0,0.0,0.304,0.0,0.0,0.0,0.146,1.994,3.146,0.148,0.103,0.92,4
TAC1,MS_700.3 [Systemic sclerosis],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,3.022,0.189,0.152,0.137,,2
LMNA,GU_580.1 [Acute nephritic syndrome],0.067,0,0.0,0.0,0.772,0.0,0.0,0.0,0.015,1.428,2.738,0.185,0.134,0.828,4
SMAD6,CV_433.3 [Cerebrovascular insufficiency],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.887,2.925,0.217,0.297,0.914,2
WNT16,MS_727.3 [Osteitis deformans [Paget's disease of bone]],0.067,0,0.0,0.0,0.0,0.496,0.0,0.0,0.024,2.389,1.31,0.378,0.236,,2
GSK3B,GI_540.11 [Autoimmune hepatitis],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.384,0.198,,0.124,,2
ITGB1,MS_700.3 [Systemic sclerosis],0.067,1,2.0,0.0,0.0,0.0,0.0,0.0,0.076,1.544,2.082,0.096,0.193,,2
MAP3K5,GE_972.1 [Hereditary neuropathy],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,1.971,3.994,0.875,1.641,,2
EDNRB,MS_704.2 [Wegener's granulomatosis],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,1.977,0.176,0.083,0.099,,2
CYLC1,CM_751.213 [Congenital cataract],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.158,4.069,,0.03,0.083,2
PHGDH,NS_341.1 [Cerebral palsy],0.067,0,0.0,0.0,0.684,0.0,0.0,0.0,0.0,2.343,0.497,0.677,0.166,0.93,3
TCF4,NS_333.4 [Circadian rhythm sleep disorder],0.067,0,0.0,0.0,0.0,0.46,0.0,0.0,0.04,3.13,0.386,0.134,1.737,0.79,3
SUPT6H,CV_414.1 [Hypertrophic cardiomyopathy],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,,2.34,0.951,0.344,0.137,3
PITX2,NS_323.3 [Motor neuron disease],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,2.634,2.274,0.203,0.145,0.072,3
YME1L1,GE_978.22 [Ehler's Danlos syndrome],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,,0.139,0.097,0.1,,1
COX6A1,GE_972.2 [Hereditary ataxia],0.067,0,0.0,0.0,0.0,0.0,0.327,0.0,0.0,,2.525,0.179,0.054,0.966,3
NFATC1,CM_763.31 [Ventricular septal defect],0.067,0,0.0,0.0,0.0,0.0,0.333,0.0,0.187,3.523,2.942,0.8,0.174,0.825,4
MAPK8IP3,CV_414.1 [Hypertrophic cardiomyopathy],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,1.33,2.906,0.917,0.453,0.099,3
CACNA2D4,GE_972.2 [Hereditary ataxia],0.067,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.771,3.266,0.548,1.15,0.902,2
SP4,MS_700.43 [Polymyositis],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.248,3.021,1.805,0.053,0.078,,2
TTC21B,GU_580.51 [Focal and segmental glomerular lesions*],0.067,0,0.0,0.0,0.0,0.0,0.0,0.402,0.102,1.321,3.103,0.536,0.189,,3
LHX5,GE_972.2 [Hereditary ataxia],0.067,0,0.0,0.132,0.0,0.0,0.0,0.0,0.036,2.597,0.139,0.087,0.08,0.833,4
POLG,GE_972.9 [Muscular dystrophy],0.067,0,0.0,0.0,0.732,0.0,0.0,0.0,0.03,1.86,2.512,0.262,0.655,0.528,4
CPEB4,MB_302.1 [Speech and language developmental delay],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,2.402,2.86,0.162,0.128,0.248,3
BMPR2,MS_700.3 [Systemic sclerosis],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.657,1.468,1.913,1.157,0.202,,2
NFATC2,NS_333.7 [Narcolepsy],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,1.963,3.699,3.059,0.136,,2
PPARG,GU_580.52 [Diffuse membranous glomerulonephritis],0.067,1,1.0,0.0,0.0,0.0,0.0,0.0,0.023,2.559,0.071,0.083,0.087,,2
DAG1,GU_580.52 [Diffuse membranous glomerulonephritis],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.098,1.942,2.808,0.297,0.13,,2
DYNLL2,SO_386.6 [Night blindness],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.406,0.095,,,0.202,2
MYH9,CV_433.3 [Cerebrovascular insufficiency],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,2.508,2.006,1.848,0.265,0.836,3
OFD1,SO_369.62 [Keratoconus],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.173,2.402,1.489,0.984,2
EPC1,GE_964.3 [Glycogen storage disease],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,2.524,1.046,0.21,0.166,,2
BRCA1,NS_341.1 [Cerebral palsy],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.89,1.288,0.235,0.985,2
TUBB2A,GE_972.1 [Hereditary neuropathy],0.067,1,4.0,0.0,0.0,0.0,0.0,0.0,0.086,2.082,0.063,,,,2
SLC40A1,CV_414.1 [Hypertrophic cardiomyopathy],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.905,2.436,1.931,0.219,0.137,3
AMPD2,GE_972.2 [Hereditary ataxia],0.067,0,0.0,0.0,0.426,0.0,0.0,0.621,0.044,,2.443,0.312,0.27,0.62,4
DCLK1,GE_972.2 [Hereditary ataxia],0.067,0,0.0,0.113,0.0,0.0,0.0,0.0,0.098,1.905,2.927,1.32,0.149,0.591,4
NUBPL,GE_972.2 [Hereditary ataxia],0.067,0,0.0,0.0,0.547,0.0,0.0,0.0,0.038,1.91,2.826,0.485,0.149,0.964,4
KCNJ13,SO_369.62 [Keratoconus],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.187,0.292,0.113,0.976,1
FN1,GE_972.9 [Muscular dystrophy],0.067,0,0.0,0.026,0.0,0.0,0.0,0.0,0.071,2.485,2.807,0.699,0.346,0.955,4
CTF1,NS_323.3 [Motor neuron disease],0.067,1,0.5,0.0,0.0,0.0,0.384,0.0,0.079,,1.74,0.182,0.132,0.032,4
AHR,GE_966.2 [Disorders of porphyrin metabolism],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,2.835,0.303,0.062,0.062,,2
NFASC,GE_961.1 [Phakomatoses],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,1.704,3.111,0.724,0.278,0.135,3
CP,MS_712.51 [Hypermobility syndrome],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.186,1.456,2.939,0.183,0.143,,2
ST14,GE_977.1 [Congenital ichthyosis],0.067,0,0.0,0.0,0.0,0.0,0.457,0.775,0.071,2.412,1.99,0.012,0.048,0.995,5
EBF1,CM_770.5 [Congenital osteodystrophies],0.067,0,0.0,0.0,0.0,0.0,0.296,0.0,0.012,2.253,0.173,0.105,0.091,0.501,4
GRIN2B,NS_328.13 [Frontotemporal dementia [FTD]],0.067,1,4.0,0.0,0.0,0.0,0.0,0.0,0.012,2.848,1.134,,,,2
FLT4,CV_414.1 [Hypertrophic cardiomyopathy],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,2.875,2.81,0.055,0.089,0.343,3
CACNA1E,CM_770.5 [Congenital osteodystrophies],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,2.52,3.832,0.105,0.184,0.245,3
PLD3,GE_972.2 [Hereditary ataxia],0.067,0,0.0,0.0,0.547,0.0,0.0,0.522,0.033,,1.635,0.242,0.19,0.639,4
RPL30,NS_324.2 [Degenerative diseases of the basal ganglia (excluding parkinsonism)],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.104,0.028,0.022,0.24,1
DICER1,GU_580.1 [Acute nephritic syndrome],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,2.215,2.45,0.142,0.89,0.784,3
MYCN,CV_433.3 [Cerebrovascular insufficiency],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.116,2.309,1.991,0.163,0.064,0.924,3
HDAC5,GE_976.5 [Polycystic kidney disease],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,1.498,2.678,0.144,0.235,,2
NAMPT,GE_964.3 [Glycogen storage disease],0.067,0,0.0,0.0,0.0,0.0,0.353,0.0,0.041,2.331,1.106,0.06,0.063,,3
CDH11,MS_700.3 [Systemic sclerosis],0.067,1,2.0,0.0,0.0,0.0,0.0,0.0,0.277,2.884,2.874,0.709,0.24,,2
PRKCE,CV_433.3 [Cerebrovascular insufficiency],0.067,1,0.5,0.0,0.0,0.0,0.0,0.0,0.152,4.18,1.022,0.077,0.104,0.673,3
KLHL24,CV_414.1 [Hypertrophic cardiomyopathy],0.067,0,0.0,0.0,0.745,0.0,0.0,0.233,0.134,3.26,2.61,1.264,0.452,0.053,4
SNRNP70,MS_700.3 [Systemic sclerosis],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.228,,2.745,0.099,0.123,,2
RRAGB,EM_209.4 [Diabetes insipidus],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.628,4.308,,0.063,0.167,2
HIF1A,CV_416.8 [Pre-excitation syndrome [Anomalous atrioventricular excitation]],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.761,1.82,0.279,0.163,0.969,2
DNMT1,GI_540.11 [Autoimmune hepatitis],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.103,1.835,2.9,0.238,0.22,,2
COL11A1,GE_963.1 [Lipid storage disorders],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.01,2.86,0.8,0.209,0.125,3
GABRB3,"MB_280.4 [Sedative, hypnotic, or anxiolytic related disorders]",0.067,1,4.0,0.0,0.0,0.0,0.0,0.0,0.036,1.985,0.129,0.039,0.064,,2
FLT1,CV_433.3 [Cerebrovascular insufficiency],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,2.435,2.199,0.382,0.226,0.941,3
ATM,BI_179.1 [Hypogammaglobulinemia NOS],0.067,0,0.0,0.0,0.522,0.0,0.0,0.0,0.048,,2.927,0.75,0.812,0.995,4
SOS1,NS_344.11 [Communicating hydrocephalus],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,2.789,0.313,0.097,0.109,,2
LYN,GU_580.1 [Acute nephritic syndrome],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,1.971,0.965,0.029,0.081,0.961,3
TMEM38B,CM_770.5 [Congenital osteodystrophies],0.067,0,0.0,0.0,0.0,0.0,0.0,0.693,0.198,2.838,2.703,0.14,0.11,0.46,4
PMPCA,SO_380.3 [Optic atrophy],0.067,0,0.0,0.0,0.779,0.0,0.0,0.452,0.061,,2.19,0.294,0.183,0.771,4
OR4M2,GE_970.2 [Thalassemia],0.067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.084,,0.195,,0
COL9A3,CM_770.5 [Congenital osteodystrophies],0.067,0,0.0,0.0,0.865,0.0,0.0,0.495,0.06,,3.201,0.104,0.964,0.672,4
JPH3,NS_323.3 [Motor neuron disease],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,2.445,2.317,0.799,0.309,0.121,3
SMOC2,CM_770.5 [Congenital osteodystrophies],0.066,0,0.0,0.0,0.547,0.0,0.0,0.0,0.029,3.098,2.609,0.21,0.148,0.477,4
MERTK,SO_369.62 [Keratoconus],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.581,3.294,0.189,0.13,1.0,2
PKHD1,GU_580.1 [Acute nephritic syndrome],0.066,0,0.0,0.0,0.848,0.0,0.571,0.485,0.058,3.064,3.185,0.665,0.395,0.333,5
LRP8,GE_972.2 [Hereditary ataxia],0.066,0,0.0,0.119,0.0,0.0,0.267,0.0,0.108,2.172,4.049,1.785,0.114,0.778,5
DROSHA,GE_975.2 [Hereditary hemorrhagic telangiectasia],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.187,2.194,2.637,0.458,0.161,,2
CRB2,GU_580.52 [Diffuse membranous glomerulonephritis],0.066,0,0.0,0.0,0.0,0.0,0.0,0.802,0.314,4.723,3.358,0.542,0.165,,3
PDE6A,SO_386.5 [Color vision deficiencies],0.066,0,0.0,0.0,0.0,0.0,0.411,0.0,0.037,1.948,2.225,0.126,0.147,0.999,4
WNT5A,CM_770.5 [Congenital osteodystrophies],0.066,0,0.0,0.0,0.0,0.0,0.296,0.0,0.061,1.941,0.092,0.104,0.097,0.912,4
MT-CO1,NS_341.1 [Cerebral palsy],0.066,0,0.0,0.0,0.0,0.0,0.0,0.37,0.018,,,,,,2
VEGFA,EM_209.13 [Hyperprolactinemia*],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.112,1.981,0.169,0.117,,2
KIF5B,NS_323.3 [Motor neuron disease],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,1.78,2.529,0.247,0.28,0.384,3
CHD7,MS_700.3 [Systemic sclerosis],0.066,0,0.0,0.0,0.0,0.457,0.0,0.0,0.024,1.896,2.264,0.464,0.332,,2
DDI2,CM_750.16 [Arnold-Chiari syndrome*],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.176,,,0.197,1
EBF2,GE_972.1 [Hereditary neuropathy],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,2.527,0.497,0.145,0.164,,2
FN1,MS_712.51 [Hypermobility syndrome],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.196,2.588,3.687,0.692,1.417,,2
SPIN1,GU_580.1 [Acute nephritic syndrome],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.069,0.038,,0.086,2
MYOD1,EM_208.1 [Hypoparathyroidism],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,0.569,0.343,0.197,0.941,2
PHC3,GE_961.1 [Phakomatoses],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.242,2.581,0.234,0.23,0.089,3
COL6A3,GE_972.1 [Hereditary neuropathy],0.066,0,0.0,0.0,0.0,0.0,0.394,0.0,0.03,3.093,2.822,0.801,0.144,,3
NBN,BI_179.1 [Hypogammaglobulinemia NOS],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.353,0.471,0.15,0.961,2
CDK8,GE_972.2 [Hereditary ataxia],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,2.443,0.106,0.091,0.099,0.436,3
SMAD3,GI_540.11 [Autoimmune hepatitis],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,1.991,0.072,0.06,0.08,,2
FBN2,GE_978.21 [Marfan syndrome],0.066,0,0.0,0.0,0.0,0.0,0.0,0.336,0.143,2.604,3.505,0.491,0.664,,3
BECN1,CV_433.3 [Cerebrovascular insufficiency],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.197,,1.471,0.236,0.129,0.741,3
HNRNPC,BI_161.2 [Extrinsic (acquired) hemolytic anemias],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.251,0.093,,,0.156,2
RAD51B,GI_542.8 [Biliary cirrhosis],0.066,0,0.0,0.0,0.0,0.576,0.0,0.0,0.015,1.939,2.158,0.301,0.179,,2
KIF1C,GE_972.2 [Hereditary ataxia],0.066,0,0.0,0.0,0.868,0.0,0.0,0.339,0.1,2.476,3.195,0.128,0.152,0.687,4
EYA1,GU_580.52 [Diffuse membranous glomerulonephritis],0.066,0,0.0,0.0,0.0,0.0,0.0,0.281,0.03,2.093,1.439,0.159,0.12,,3
H6PD,NS_323.3 [Motor neuron disease],0.066,0,0.0,0.0,0.0,0.0,0.317,0.0,0.015,4.313,2.526,0.423,0.361,0.002,4
NR3C1,MB_293.1 [Anorexia nervosa],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.153,2.901,3.294,0.198,0.129,,2
BBS12,SO_380.3 [Optic atrophy],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.376,1.762,0.13,0.967,2
ABCB1,NS_323.3 [Motor neuron disease],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,,2.766,0.191,0.436,0.178,3
CDK5,GE_972.2 [Hereditary ataxia],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,,0.123,0.095,0.107,0.92,2
PITX2,CV_416.8 [Pre-excitation syndrome [Anomalous atrioventricular excitation]],0.066,0,0.0,0.0,0.426,0.0,0.467,0.121,0.0,3.158,1.377,0.152,0.113,0.267,4
SMARCA2,GE_972.2 [Hereditary ataxia],0.066,0,0.0,0.03,0.0,0.0,0.0,0.0,0.024,2.865,2.434,0.41,0.474,0.825,4
DYNC2I1,GE_978.3 [Osteochondrodysplasias],0.066,0,0.0,0.0,0.0,0.0,0.0,0.766,0.074,2.975,3.186,0.385,0.156,,3
CBLL1,GE_961.1 [Phakomatoses],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,2.615,2.24,0.111,0.125,0.068,3
MT-CO1,GU_580.51 [Focal and segmental glomerular lesions*],0.066,0,0.0,0.0,0.0,0.0,0.0,0.362,0.018,,,,,,2
MT-CO1,GU_580.52 [Diffuse membranous glomerulonephritis],0.066,0,0.0,0.0,0.0,0.0,0.0,0.362,0.018,,,,,,2
SUV39H2,MS_704.9 [Allergic purpura [Henoch-Schoenlein purpura]],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,3.702,0.102,,0.086,,2
GNAS,"MB_280.4 [Sedative, hypnotic, or anxiolytic related disorders]",0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,2.415,0.125,0.097,0.071,,2
CD40LG,MS_704.2 [Wegener's granulomatosis],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,1.979,2.41,,0.029,,2
RPS23,SO_386.5 [Color vision deficiencies],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,0.05,,,0.162,2
SND1,GU_580.1 [Acute nephritic syndrome],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.134,1.964,1.763,0.258,0.204,0.239,3
LASP1,GI_540.11 [Autoimmune hepatitis],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,2.05,0.229,0.077,0.07,,2
ABCA1,GU_580.51 [Focal and segmental glomerular lesions*],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,2.801,4.095,0.789,0.775,,2
RPS10,SO_380.3 [Optic atrophy],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.031,,,0.279,1
CRYGD,CM_751.213 [Congenital cataract],0.066,0,0.0,0.0,0.825,0.0,0.901,0.453,0.065,,2.076,1.159,0.097,0.993,5
IL1B,NS_324.2 [Degenerative diseases of the basal ganglia (excluding parkinsonism)],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.159,2.098,0.124,0.123,0.053,0.968,3
RYK,NS_323.3 [Motor neuron disease],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,3.22,2.903,,0.086,0.087,3
WNT5A,CM_751.213 [Congenital cataract],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,3.482,0.108,0.103,0.12,0.561,3
MSH3,NS_344.2 [Benign intracranial hypertension],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.022,2.366,0.348,0.585,0.975,2
TLL1,CV_414.1 [Hypertrophic cardiomyopathy],0.066,0,0.0,0.0,0.0,0.0,0.466,0.0,0.0,4.028,1.868,,0.14,0.153,3
GSK3B,DE_663.2 [Pemphigoid],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,2.29,0.168,,0.097,,2
BCORL1,CV_441 [Arteriovenous malformation],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.377,3.845,,0.069,0.126,2
CNTN1,GU_580.1 [Acute nephritic syndrome],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,3.054,1.461,0.319,0.221,0.179,3
AIDA,NS_344.2 [Benign intracranial hypertension],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.115,0.104,,0.098,0.065,2
NOS1,GE_972.9 [Muscular dystrophy],0.066,0,0.0,0.042,0.0,0.0,0.0,0.0,0.086,4.262,2.151,0.31,0.953,0.82,4
LYN,BI_179.1 [Hypogammaglobulinemia NOS],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,1.917,2.707,0.035,0.085,0.957,3
SEC61A1,CV_414.1 [Hypertrophic cardiomyopathy],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,1.356,0.195,0.065,1.566,0.084,3
NT5C2,GE_972.2 [Hereditary ataxia],0.066,0,0.0,0.0,0.0,0.0,0.0,0.751,0.079,,2.753,0.068,0.207,0.562,4
B3GALT6,CM_770.5 [Congenital osteodystrophies],0.066,0,0.0,0.0,0.547,0.0,0.0,0.29,0.044,,2.455,0.116,0.061,0.554,4
GSDMB,GI_542.8 [Biliary cirrhosis],0.066,0,0.0,0.0,0.0,0.27,0.0,0.0,0.088,4.948,2.574,0.25,0.1,,2
GRM1,NS_323.3 [Motor neuron disease],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,2.526,0.731,0.544,0.289,0.17,3
RXRA,CV_414.1 [Hypertrophic cardiomyopathy],0.066,0,0.0,0.0,0.0,0.0,0.584,0.0,0.093,3.036,3.056,1.828,0.128,0.63,4
TCF12,GE_977.6 [Congenital cutaneous mastocytosis*],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,2.843,0.089,0.152,0.091,,2
MITF,CM_770.5 [Congenital osteodystrophies],0.066,0,0.0,0.0,0.732,0.0,0.309,0.0,0.08,1.636,2.99,0.274,0.139,0.93,5
XIRP1,GE_972.9 [Muscular dystrophy],0.066,0,0.0,0.0,0.0,0.0,0.394,0.0,0.017,,2.646,0.952,0.164,0.325,4
SNAI2,GE_972.9 [Muscular dystrophy],0.066,0,0.0,0.062,0.0,0.0,0.0,0.0,0.03,1.658,0.074,,0.049,0.268,4
ILF3,NS_339.2 [Myotonic disorders],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,2.337,0.327,0.097,0.091,,2
SYNE1,NS_339.2 [Myotonic disorders],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,3.118,3.849,0.681,1.793,,2
ATP6V1H,MS_727.3 [Osteitis deformans [Paget's disease of bone]],0.066,0,0.0,0.0,0.0,0.0,0.419,0.0,0.024,,0.298,0.199,0.244,,2
JAG1,GE_978.3 [Osteochondrodysplasias],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,2.576,1.876,0.185,1.664,,2
TFAP2A,CM_751.213 [Congenital cataract],0.066,0,0.0,0.0,0.0,0.0,0.287,0.0,0.036,3.325,0.1,0.076,0.111,0.759,4
PALB2,BI_162.1 [Constitutional (hereditary) aplastic anemia],0.066,0,0.0,0.0,0.0,0.0,0.0,0.704,0.202,,1.951,0.093,0.126,,3
LGI1,GE_973.5 [Huntington's disease],0.066,0,0.0,0.0,0.0,0.0,0.252,0.0,0.061,1.947,0.072,0.055,0.06,,3
KIT,CV_414.1 [Hypertrophic cardiomyopathy],0.066,1,0.5,0.0,0.0,0.0,0.0,0.0,0.618,1.829,1.462,0.353,0.547,0.807,3
FGFR1,DE_663.2 [Pemphigoid],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.177,2.534,2.213,0.915,1.382,,2
NOVA1,CV_433.3 [Cerebrovascular insufficiency],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.146,2.168,0.104,0.065,0.096,0.168,3
RNF220,GE_963.1 [Lipid storage disorders],0.066,0,0.0,0.0,0.684,0.0,0.0,0.402,0.334,2.59,0.268,0.106,0.09,0.119,4
AHI1,GE_972.2 [Hereditary ataxia],0.066,0,0.0,0.107,0.0,0.0,0.0,0.0,0.036,2.603,4.074,0.437,0.306,0.995,4
MT-CO3,GE_972.2 [Hereditary ataxia],0.066,0,0.0,0.0,0.0,0.0,0.0,0.129,0.021,,,,,,2
SDF2,GE_972.9 [Muscular dystrophy],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.214,0.134,0.084,1.0,1
FOXG1,GE_977.1 [Congenital ichthyosis],0.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.427,0.118,,,0.185,2
ESR1,EM_209.13 [Hyperprolactinemia*],0.066,1,4.0,0.0,0.0,0.0,0.511,0.0,0.031,2.329,0.893,0.598,0.117,,3
